City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
6,Hilo,US,89.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
8,Kasrawad,IN,83.91,clear sky,22.1333,75.6,Hotel Aashray
9,Sibolga,ID,77.4,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
10,Atuona,PF,77.54,clear sky,-9.8,-139.0333,Villa Enata
13,Cayenne,GF,75.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
14,Banda Aceh,ID,81.0,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
15,Victoria,HK,80.96,scattered clouds,22.2855,114.1577,Mini Central
17,Forrest City,US,83.88,clear sky,35.0081,-90.7898,Hampton Inn Forrest City
27,Bambanglipuro,ID,77.23,overcast clouds,-7.95,110.2833,Puri Brata
29,Faanui,PF,80.37,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
32,Hobyo,SO,78.98,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
36,Ormara,PK,81.46,clear sky,25.2088,64.6357,Kenara Colony house for Rent
55,Marihatag,PH,82.22,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
62,Kapaa,US,80.92,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Korhogo,CI,77.22,scattered clouds,9.45,-5.6333,Hôtel Tchinbota
66,Butaritari,KI,81.12,broken clouds,3.0707,172.7902,Isles Sunset Lodge
80,Ratnagiri,IN,78.19,overcast clouds,16.9833,73.3,Hotel Landmark
83,Half Moon Bay,US,79.25,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
85,Port Hedland,AU,75.25,few clouds,-20.3167,118.5667,The Esplanade Hotel
87,Isangel,VU,79.97,broken clouds,-19.55,169.2667,Tanna Lodge
88,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
89,Pangai,TO,78.3,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
91,Kapit,MY,75.94,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
94,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
95,Kavaratti,IN,82.36,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
97,Bambous Virieux,MU,75.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
99,Kavieng,PG,83.55,light rain,-2.5744,150.7967,Nusa Island Retreat
103,Tautira,PF,79.12,light rain,-17.7333,-149.15,Pension Oaoa
105,Noumea,NC,80.58,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
109,Vanimo,PG,83.05,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
110,Cockburn Town,TC,79.93,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
113,Nizwa,OM,82.85,few clouds,22.9333,57.5333,Orient Apartments
116,Kokoda,PG,81.91,scattered clouds,-8.8785,147.7407,Daito Guest House
121,Gondanglegi,ID,75.22,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
122,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
125,Quatre Cocos,MU,75.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
127,Dingzhou,CN,77.92,clear sky,38.5131,114.9956,宜家时尚宾馆
128,Bubaque,GW,78.91,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
129,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
138,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
139,San Patricio,US,86.72,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
140,Parnamirim,BR,82.29,light rain,-5.9156,-35.2628,Pousada Joaci
142,Bodden Town,KY,82.99,few clouds,19.2833,-81.25,Will T Place
150,Coahuayana,MX,81.9,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
154,Bengkulu,ID,76.32,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
166,Cabra,ES,75.33,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
169,Buala,SB,83.19,light rain,-8.145,159.5921,Maringe Lagoon Lodge
174,Tuy Hoa,VN,78.08,light rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
177,Atar,MR,86.23,broken clouds,20.5169,-13.0499,Oumou Elghoura
178,Puerto Ayacucho,VE,76.98,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
183,Pochutla,MX,84.81,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
188,Muisne,EC,77.59,overcast clouds,0.6,-80.0333,Quinta Samay
191,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
192,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
197,Sarankhola,BD,82.92,few clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
208,Atambua,ID,78.03,broken clouds,-9.1061,124.8925,Kost Alfa Flat
212,Puerto Carreno,CO,80.71,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
213,Karachi,PK,84.02,smoke,24.9056,67.0822,Sadaat
216,Kieta,PG,84.13,few clouds,-6.2167,155.6333,Uruna Bay Retreat
221,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
229,Tabou,CI,77.85,overcast clouds,4.423,-7.3528,hotêl doufoulougou
230,La Romana,DO,80.96,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
232,Humberto De Campos,BR,75.04,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
237,Morehead,US,83.95,clear sky,37.2711,-87.1764,CCI Express Inn
238,Acarau,BR,77.86,broken clouds,-2.8856,-40.12,castelo pizzaria
245,Champerico,GT,82.94,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
248,Finschhafen,PG,84.49,scattered clouds,-6.6024,147.8681,Cossam Guest House
250,Alofi,NU,76.89,few clouds,-19.0595,-169.9187,Taloa Heights
252,Gat,IL,81.39,overcast clouds,31.61,34.7642,OlusHome
253,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
273,Solano,US,86.43,clear sky,38.2333,-121.9511,Westwind Inn
275,Kismayo,SO,79.43,overcast clouds,-0.3582,42.5454,Agan-Hotel
278,Kimbe,PG,87.13,clear sky,-5.5502,150.1429,Kimbe Bay Hotel
279,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
280,Tecoanapa,MX,83.16,overcast clouds,16.5167,-98.75,Hotel Manglares
286,Kanata,CA,77.04,overcast clouds,45.3159,-75.8985,Brookstreet Hotel
290,Cabo San Lucas,MX,82.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
295,Kouroussa,GN,79.23,broken clouds,10.65,-9.8833,Hotel Tando Plus
301,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
309,Lorengau,PG,83.71,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
319,Hithadhoo,MV,82.62,broken clouds,-0.6,73.0833,Scoop Guest House
320,Alyangula,AU,83.21,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
325,Muli,MV,83.75,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
326,Kailua,US,84.18,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
328,Kununurra,AU,84.18,clear sky,-15.7667,128.7333,Hotel Kununurra
330,Tarakan,ID,81.9,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
333,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
335,Trairi,BR,76.55,overcast clouds,-3.2778,-39.2689,janelas do mar
337,Shah Alam,MY,80.31,few clouds,3.0851,101.5328,Concorde Hotel Shah Alam
341,Tabas,IR,79.95,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
342,Crawfordsville,US,82.63,clear sky,40.0411,-86.8745,"Holiday Inn Express & Suites Crawfordsville, an IHG Hotel"
343,Aswan,EG,84.24,clear sky,24.0934,32.907,Nuba Nile
344,Wilmington,US,82.31,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
346,Tual,ID,84.09,few clouds,-5.6667,132.75,Grand Vilia Hotel
348,Keti Bandar,PK,81.37,clear sky,24.1447,67.4497,Haji laloo memon house
354,Kahului,US,89.62,broken clouds,20.8947,-156.47,Maui Seaside Hotel
360,Dalbandin,PK,78.42,clear sky,28.8947,64.4101,Sanjrani House
363,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
369,Cabo Rojo,PR,82.98,scattered clouds,18.0866,-67.1457,Hotel Perichi's
374,Ndioum,SN,80.49,broken clouds,16.5129,-14.6471,l'hôtel samassa
376,Ouargaye,BF,85.44,broken clouds,11.5033,0.0572,Résidence le Cotonnier
379,North Myrtle Beach,US,84.34,clear sky,33.816,-78.68,Avista Resort
380,Ambikapur,IN,80.2,clear sky,23.1167,83.2,Hotel Birendra Prabha
382,Bandarbeyla,SO,79.66,overcast clouds,9.4942,50.8122,JABIR HOTEL
384,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
385,Gizo,SB,84.74,clear sky,-8.103,156.8419,Imagination Island
386,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
388,Rasulnagar,PK,81.39,scattered clouds,32.3285,73.7814,Aliraza Mehar
399,Sakti,IN,84.76,clear sky,22.0333,82.9667,C.B. Sweet Home
404,Jiehu,CN,77.18,few clouds,35.5428,118.455,Jixiang Hotel
419,Muncar,ID,77.83,overcast clouds,-8.4333,114.3333,Zaky Homestay
424,Kloulklubed,PW,81.1,moderate rain,7.0419,134.2556,Storyboard Beach Resort
426,Les Cayes,HT,77.31,broken clouds,18.2,-73.75,Villa Orphee
431,Dingle,PH,78.12,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
432,San Ignacio,BZ,89.74,few clouds,17.1561,-89.0714,Rainforest Haven Inn
436,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
438,Bosaso,SO,86.59,broken clouds,11.2842,49.1816,Red Sea Hotel
439,Nabire,ID,82.99,few clouds,-3.3667,135.4833,Hotel Nusantara I
442,La Orilla,MX,80.38,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
445,Labuhan,ID,77.99,light rain,-6.8844,112.2051,DoubleFAG
447,Dwarka,IN,81.82,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
451,Naliya,IN,80.78,clear sky,23.2667,68.8333,jadeja jayendrasinh
459,Esmeralda,CU,80.51,overcast clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
466,Singapore,SG,82.31,haze,1.2897,103.8501,The Fullerton Hotel Singapore
467,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
468,Banikoara,BJ,81.86,broken clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
469,Karratha,AU,76.96,broken clouds,-20.7377,116.8463,ibis Styles Karratha
471,Harper,LR,77.9,overcast clouds,4.375,-7.7169,Screensaver
486,Agar,IN,80.85,clear sky,23.7,76.0167,Bherav Mandir
487,Moerai,PF,76.82,clear sky,-22.4333,-151.3333,Le Manotel
490,Anandnagar,IN,78.35,clear sky,27.1,83.2833,Susham's Haveli
491,Samarai,PG,82.58,scattered clouds,-10.6167,150.6667,Nuli Sapi
493,Monrovia,LR,77.61,moderate rain,6.3005,-10.7969,Sunset Inn
495,Meulaboh,ID,77.09,overcast clouds,4.1363,96.1285,Kost Pria
496,Petatlan,MX,85.8,few clouds,17.5167,-101.2667,Hotel California Petatlán
497,Lamu,KE,80.82,broken clouds,-2.2717,40.902,Lamu House
511,Mattru,SL,75.02,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
513,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
514,Tayu,ID,77.72,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
516,Griffith,US,84.06,scattered clouds,41.5284,-87.4237,Apartment above Depot Bar
518,Waingapu,ID,82.45,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
519,Pontian Kecil,MY,79.12,scattered clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
520,Miri,MY,80.74,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
523,Mogadishu,SO,79.52,scattered clouds,2.0371,45.3438,Hotel Juba
524,China,MX,81.66,broken clouds,25.7,-99.2333,González Reyes Artemio
528,Kendari,ID,79.21,overcast clouds,-3.945,122.4989,Hotel Wixel
529,Arvin,US,81.41,clear sky,35.2091,-118.8284,Geo Rizo
530,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
538,Haapiti,PF,85.73,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
539,Trincomalee,LK,81.14,scattered clouds,8.5711,81.2335,Welcombe Hotel
540,Hamilton,US,84.56,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
545,Koumac,NC,81.19,broken clouds,-20.5667,164.2833,Le Monitel
552,Kroya,ID,77.02,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
554,Santa Rosa,PH,85.08,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
560,Ishigaki,JP,77.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
561,Namatanai,PG,84.94,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
569,Callaguip,PH,77.02,thunderstorm with rain,18.0714,120.4867,Pangil Beach Resort
572,Ahuimanu,US,83.91,few clouds,21.4447,-157.8378,Paradise Bay Resort
574,Hirara,JP,77.27,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
576,Teahupoo,PF,80.56,light rain,-17.8333,-149.2667,Vanira Lodge
579,Honiara,SB,85.8,few clouds,-9.4333,159.95,Heritage Park Hotel
580,Laguna,US,83.28,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
581,Kibala,TD,76.95,thunderstorm,9.1104,18.3463,hotel safari
586,Maine-Soroa,NE,85.3,overcast clouds,13.2114,12.0241,Complexe
592,Duncan,US,86.22,clear sky,34.5023,-97.9578,Days Inn by Wyndham Duncan
594,Dentsville,US,89.65,clear sky,34.064,-80.9582,Columbia Northeast Hotel
597,Cape Coast,GH,78.71,moderate rain,5.1053,-1.2466,Samrit Hotel
599,Bud,US,85.95,clear sky,39.447,-86.1758,Ted McQuinn Trust
602,Rong Kwang,TH,81.45,overcast clouds,18.339,100.3174,Rong Kwang Hotel
606,Aneho,TG,82.6,moderate rain,6.2333,1.6,Hotel La Linette
608,Ibra,OM,79.74,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
609,Abu Zabad,SD,84.16,clear sky,12.35,29.25,حامد محمد نور
610,Palu,ID,81.99,broken clouds,-0.8917,119.8707,Hotel Santika Palu
620,Nan,TH,75.22,broken clouds,18.8333,100.6667,สะเนียน2
623,Qui Nhon,VN,79.74,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
624,Mujiayingzi,CN,81.48,scattered clouds,42.1167,118.7833,Jinjiang Hotel
628,Virginia Beach,US,89.62,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
633,Careiro Da Varzea,BR,77.61,scattered clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
634,Bela,IN,84.42,broken clouds,25.9333,81.9833,Raj Bhawan
636,Dharmavaram,IN,75.09,overcast clouds,14.4333,77.7167,BALAJI LODGE
638,Goderich,CA,79.12,overcast clouds,43.7501,-81.7165,Harmony Inn
640,Touros,BR,78.04,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
641,Tomatlan,MX,80.2,clear sky,19.9333,-105.25,El Salvial
643,Akyab,MM,83.16,overcast clouds,20.15,92.9,Hotel Memory
644,Russell,US,80.2,broken clouds,32.3502,-85.1999,Macs
645,Auki,SB,81.97,overcast clouds,-8.7676,160.7034,Auki Motel
647,Matara,LK,77.59,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
648,Lancaster,US,75.56,clear sky,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
649,Ciudad Bolivar,VE,86.54,few clouds,8.1222,-63.5497,Hotel Edi
650,Pathein,MM,81.72,heavy intensity rain,16.7833,94.7333,Pathein Hotel
653,Buraydah,SA,84.65,clear sky,26.326,43.975,Mövenpick Qassim
656,Dayong,CN,76.24,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
659,Omboue,GA,75.63,overcast clouds,-1.5746,9.2618,Hotel Olako
662,Tagusao,PH,84.54,overcast clouds,9.1924,117.8141,Green Villa beach resort
663,Bontang,ID,78.4,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
666,Anloga,GH,81.37,light rain,5.7947,0.8973,Pin Drop Hotel
674,Dongying,CN,83.05,clear sky,37.4564,118.4856,Wanda Realm
675,Chiang Klang,TH,77.27,overcast clouds,19.2938,100.8617,Sangthong Resort
676,Kirakira,SB,84.4,broken clouds,-10.4544,161.9205,SanBiz Lodge
677,Bilma,NE,88.0,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
680,Itarema,BR,76.87,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
692,Biak,ID,79.0,overcast clouds,-0.9131,122.8766,Penginapan Kim
701,Potiskum,NG,86.45,overcast clouds,11.7091,11.0694,Tamir Hotel Ltd
